OrderID,Date,CustomerID,Region,Category,Product,Quantity,UnitPrice,Sales,Profit
1,2023-01-31,CUST8290,East,Electronics,Smartphone,4,1901.92,7607.68,1772.58
2,2022-11-10,CUST9880,West,Electronics,Headphones,7,897.21,6280.47,471.0
3,2020-03-28,CUST4186,West,Home Appliances,Microwave,5,1206.22,6031.1,1369.17
4,2023-08-25,CUST9515,West,Home Appliances,Microwave,2,1446.78,2893.56,823.62
5,2021-01-20,CUST6308,North,Groceries,Rice,5,1238.79,6193.95,1256.83
6,2020-09-09,CUST8394,West,Home Appliances,Microwave,9,589.55,5305.95,1076.91
7,2021-11-30,CUST5643,East,Electronics,Laptop,3,771.1,2313.3,684.29
8,2023-02-28,CUST5942,South,Home Appliances,Microwave,5,1219.01,6095.05,564.59
9,2020-06-15,CUST4827,North,Furniture,Wardrobe,2,1898.28,3796.56,1106.35
10,2020-08-29,CUST9731,South,Furniture,Wardrobe,10,616.18,6161.8,458.55
11,2023-09-25,CUST6518,North,Furniture,Wardrobe,7,1223.89,8567.23,2212.9
12,2020-02-04,CUST6174,West,Groceries,Wheat,1,524.97,524.97,113.2
13,2022-10-22,CUST5248,North,Clothing,Shoes,6,423.8,2542.8,488.03
14,2021-12-03,CUST2598,East,Groceries,Rice,2,1552.51,3105.02,884.54
15,2022-09-22,CUST8455,North,Furniture,Wardrobe,8,1145.18,9161.44,1650.97
16,2020-10-22,CUST4557,West,Clothing,Jeans,5,783.47,3917.35,461.61
17,2022-12-12,CUST1713,East,Furniture,Chair,8,719.94,5759.52,692.49
18,2021-01-14,CUST3253,West,Clothing,Shirt,9,599.58,5396.22,492.77
19,2021-06-04,CUST1607,East,Furniture,Bed,8,795.81,6366.48,785.45
20,2022-12-22,CUST5779,East,Furniture,Table,3,1416.65,4249.95,987.06
21,2020-10-15,CUST4423,North,Groceries,Bread,5,1853.34,9266.7,1971.67
22,2022-11-17,CUST1075,West,Groceries,Wheat,7,1701.58,11911.06,1933.91
23,2022-11-22,CUST7134,East,Groceries,Rice,7,628.85,4401.95,577.96
24,2020-04-08,CUST3723,South,Electronics,Headphones,8,556.7,4453.6,847.57
25,2021-09-04,CUST6947,North,Clothing,Jeans,3,1523.96,4571.88,870.12
26,2022-02-05,CUST5384,West,Home Appliances,Air Conditioner,7,90.46,633.22,144.16
27,2022-06-10,CUST5318,West,Furniture,Table,3,72.54,217.62,45.5
28,2021-07-17,CUST1653,East,Groceries,Rice,4,1816.06,7264.24,815.94
29,2022-01-18,CUST9210,East,Electronics,Headphones,4,1886.28,7545.12,1506.88
30,2023-06-20,CUST9859,North,Clothing,Dress,6,1762.13,10572.78,2178.93
31,2022-10-09,CUST5635,South,Clothing,Shoes,6,918.5,5511.0,576.51
32,2023-09-25,CUST1791,East,Clothing,Shirt,10,252.96,2529.6,351.8
33,2020-07-08,CUST5211,West,Clothing,Jeans,1,551.54,551.54,116.88
34,2021-09-24,CUST3469,South,Clothing,Shirt,4,711.61,2846.44,359.21
35,2021-12-10,CUST2890,West,Furniture,Sofa,8,1072.84,8582.72,1469.43
36,2023-06-02,CUST5943,East,Clothing,Shoes,3,546.13,1638.39,181.91
37,2023-10-29,CUST5027,West,Electronics,Camera,8,1409.01,11272.08,1588.32
38,2021-03-17,CUST2793,South,Electronics,Tablet,4,501.28,2005.12,449.3
39,2023-11-11,CUST4169,South,Furniture,Sofa,1,304.69,304.69,91.23
40,2021-11-29,CUST5965,East,Electronics,Laptop,1,1953.46,1953.46,298.41
41,2022-05-04,CUST6985,West,Groceries,Bread,5,696.69,3483.45,726.61
42,2023-02-27,CUST1050,North,Furniture,Chair,5,984.01,4920.05,1458.36
43,2023-12-10,CUST3798,West,Groceries,Eggs,7,1347.55,9432.85,2267.7
44,2020-05-02,CUST8348,East,Clothing,Shoes,1,1459.15,1459.15,207.12
45,2022-06-02,CUST7992,West,Home Appliances,Air Conditioner,2,1270.72,2541.44,467.48
46,2022-01-21,CUST6271,West,Home Appliances,Air Conditioner,1,309.93,309.93,54.87
47,2021-04-08,CUST6530,South,Home Appliances,Blender,3,1185.88,3557.64,780.51
48,2021-02-06,CUST2822,North,Home Appliances,Refrigerator,10,1029.07,10290.7,1097.24
49,2022-05-13,CUST4157,West,Groceries,Rice,7,356.99,2498.93,556.6
50,2021-07-04,CUST9666,West,Home Appliances,Refrigerator,2,1677.04,3354.08,734.28
51,2021-04-17,CUST3074,West,Groceries,Milk,2,1850.14,3700.28,996.61
52,2020-09-19,CUST2007,West,Electronics,Laptop,10,1964.52,19645.2,3519.61
53,2022-05-30,CUST6542,West,Groceries,Eggs,2,1992.54,3985.08,1161.07
54,2021-03-28,CUST5654,East,Clothing,Shoes,5,1766.45,8832.25,858.29
55,2023-06-10,CUST4591,North,Electronics,Headphones,3,1403.71,4211.13,1101.91
56,2021-02-07,CUST1888,North,Furniture,Wardrobe,8,814.97,6519.76,1773.0
57,2021-09-19,CUST2682,West,Electronics,Tablet,1,331.64,331.64,91.08
58,2020-09-10,CUST9824,North,Furniture,Bed,3,750.84,2252.52,642.04
59,2020-06-01,CUST5365,West,Home Appliances,Refrigerator,2,330.01,660.02,123.54
60,2022-04-01,CUST4616,East,Electronics,Tablet,3,1307.4,3922.2,416.02
61,2020-06-09,CUST4201,West,Furniture,Wardrobe,4,482.13,1928.52,253.31
62,2023-11-16,CUST6854,South,Groceries,Bread,7,1444.67,10112.69,1284.47
63,2021-11-18,CUST8561,West,Furniture,Sofa,3,1276.3,3828.9,431.19
64,2020-02-07,CUST4964,North,Clothing,Jeans,6,792.26,4753.56,1297.78
65,2023-07-30,CUST9125,South,Groceries,Bread,2,706.66,1413.32,298.6
66,2022-05-28,CUST3193,West,Electronics,Laptop,1,398.53,398.53,91.91
67,2021-10-20,CUST1193,South,Groceries,Bread,4,58.39,233.56,49.37
68,2020-01-17,CUST8913,South,Clothing,Jeans,5,1768.15,8840.75,2094.64
69,2022-11-26,CUST6403,East,Electronics,Headphones,8,668.19,5345.52,1005.98
70,2021-08-29,CUST6563,North,Furniture,Wardrobe,3,1960.86,5882.58,404.94
71,2020-09-09,CUST3067,West,Electronics,Laptop,5,389.91,1949.55,228.33
72,2023-09-08,CUST5374,North,Home Appliances,Refrigerator,2,1118.03,2236.06,635.13
73,2021-07-23,CUST2406,West,Electronics,Laptop,3,1144.42,3433.26,255.07
74,2023-08-04,CUST9529,West,Home Appliances,Air Conditioner,6,723.71,4342.26,493.02
75,2021-05-04,CUST5500,West,Furniture,Wardrobe,2,651.88,1303.76,341.8
76,2023-11-17,CUST3644,North,Clothing,Jeans,6,725.39,4352.34,537.07
77,2022-01-28,CUST4300,East,Home Appliances,Microwave,10,1622.13,16221.3,4327.33
78,2021-06-08,CUST3320,East,Furniture,Sofa,10,20.32,203.2,42.06
79,2020-01-20,CUST3487,East,Furniture,Wardrobe,1,151.17,151.17,22.55
80,2021-10-15,CUST7814,West,Clothing,Shoes,3,682.61,2047.83,294.67
81,2022-04-13,CUST4709,West,Groceries,Rice,7,1347.33,9431.31,1245.29
82,2021-07-28,CUST5711,South,Home Appliances,Air Conditioner,6,1185.76,7114.56,409.98
83,2021-11-12,CUST9320,East,Electronics,Camera,6,613.5,3681.0,678.3
84,2021-09-04,CUST3510,North,Furniture,Sofa,1,1657.46,1657.46,195.39
85,2020-01-05,CUST7963,East,Clothing,Jeans,7,179.84,1258.88,79.21
86,2022-06-02,CUST6422,South,Groceries,Bread,3,1278.49,3835.47,888.0
87,2020-09-25,CUST7290,South,Home Appliances,Microwave,2,1037.44,2074.88,271.27
88,2021-10-18,CUST8301,North,Furniture,Table,8,548.96,4391.68,701.54
